match_id,puuid,champion,game_duration_minutes,win,gold_per_min,damage_per_min,kill_participation,dragon_takedowns,baron_takedowns,kills,deaths,assists
NA1_5325564499,2m6P0aykeYZQiHmsp3pHF3aZA1bFGO_IP85m6j_2VVBUb-7ZdQY4NnkxTAoAzkBG8whKMKI-_IHb4w,KSante,18.233333333333334,1,381.1860547425793,259.5499517362039,0.15,0,0,2,0,1
NA1_5325564499,oDObaLEmNZh_3qjEHGU6mfiDqtxLSd5myvQxVl07FPvcK9O763RpIwCcj9IX9j4ZkA1dfaygR-RIYw,Trundle,18.233333333333334,1,345.112834668859,321.7456165621272,0.4,3,0,1,2,7
NA1_5325564499,DGoRexT0AS7hFiOWboXSz6z0kxT9fXO15PvfYo1BXMbUhjBADhgueimqgfGUnvHkMPkSNzxSnJzXSQ,Vladimir,18.233333333333334,1,505.92240670423433,1112.2652028280809,0.5,1,0,7,1,3
NA1_5325564499,Lmy0Ad3j-2-b_OMlQA_Vr2UFE1932fHlx1eJJ5l4P44mksybn76doGc-5hYX-Qhye7ZuaLKXf-NLew,Tristana,18.233333333333334,1,402.13651068076206,419.3776422051944,0.35,2,0,3,2,4
NA1_5325564499,yUR1ioPGVTV7IbozdUlFx6qe0OqPugo8X0JxDsMn_l3cMDJqbbJ3Pbma9yoOJrkth8VAowLXjvLZZQ,Neeko,18.233333333333334,1,400.6178236509788,511.3719925993269,0.75,2,0,7,2,8
NA1_5325564499,Kcc5TeSlOPUmmYT6TAMTPO5V6uD8Mg7I6vAe004Ez3o3da7EI0FIp6BJykvPVwc1JGZJp2U-14oGTA,Heimerdinger,18.233333333333334,0,330.05000109590185,589.0452137032634,0.0,0,0,0,2,0
NA1_5325564499,pwIsssaeyzfcJRcAnX8waLPHyeBT70tk33wxcLLM_YKaGOZ4P5kw9Pwwam9ojrIdsUEa5yrMtF0V4A,Zac,18.233333333333334,0,370.4891318719373,448.9633989545886,0.7142857142857143,0,0,3,3,2
NA1_5325564499,r-q64-30kgFl5ICvo6P30MNoOUnbVqPrKSok2yRKGsVUzlsD7WaA5z62ljFndVpUOc4v89UaJ-hS8Q,Zed,18.233333333333334,0,377.76567647579407,761.1396116358618,0.42857142857142855,0,0,3,6,0
NA1_5325564499,692l6Z9hgBgUzTaxrD4_ePp2RDs27C2Mw8LtKRKmgd8FIQac2FAdtB-JL5Yj0E12z0PLZ1y14gW54g,Corki,18.233333333333334,0,334.66567154785406,676.8666410485888,0.42857142857142855,0,0,1,4,2
NA1_5325564499,Xsr1E5XOaQ1ebahxB6feLeB_SIC_0ZP52alB0zUp4dcUgaEhA2qBURgD4LjWO7_cg6sh54m0X8gNlQ,Nami,18.233333333333334,0,243.9497238332217,274.4343587213269,0.7142857142857143,0,0,0,5,5
